213.575, 129.089, 8.333, 17.400 False
213.158, 129.086, 8.333, 17.450 False
212.741, 129.083, 8.333, 17.500 False
212.325, 129.080, 8.333, 17.550 False
211.908, 129.077, 8.333, 17.600 False
211.491, 129.075, 8.333, 17.650 False
211.075, 129.073, 8.333, 17.700 False
210.658, 129.071, 8.333, 17.750 False
210.241, 129.069, 8.333, 17.800 False
209.825, 129.067, 8.333, 17.850 False
209.408, 129.066, 8.333, 17.900 False
208.991, 129.064, 8.333, 17.950 False
208.575, 129.063, 8.333, 18.000 False
208.158, 129.062, 8.333, 18.050 False
207.741, 129.061, 8.333, 18.100 False
207.325, 129.060, 8.333, 18.150 False
206.908, 129.060, 8.333, 18.200 False
206.491, 129.059, 8.333, 18.250 False
206.075, 129.059, 8.333, 18.300 False
205.658, 129.059, 8.333, 18.350 False
205.241, 129.059, 8.333, 18.400 False
204.825, 129.060, 8.333, 18.450 False
204.408, 129.060, 8.333, 18.500 False
203.991, 129.061, 8.333, 18.550 False
203.575, 129.061, 8.333, 18.600 False
203.158, 129.062, 8.333, 18.650 False
202.741, 129.063, 8.333, 18.700 False
202.325, 129.065, 8.333, 18.750 False
201.908, 129.066, 8.333, 18.800 False
201.491, 129.067, 8.333, 18.850 False
201.075, 129.069, 8.333, 18.900 False
200.658, 129.070, 8.333, 18.950 False
200.241, 129.072, 8.333, 19.000 False
199.825, 129.074, 8.333, 19.050 False
199.408, 129.077, 8.333, 19.100 False
198.991, 129.079, 8.333, 19.150 False
198.575, 129.081, 8.333, 19.200 False
198.158, 129.084, 8.333, 19.250 False
197.741, 129.087, 8.333, 19.300 False
197.325, 129.089, 8.333, 19.350 False
196.908, 129.092, 8.333, 19.400 False
196.491, 129.095, 8.333, 19.450 False
196.075, 129.099, 8.333, 19.500 False
195.658, 129.102, 8.333, 19.550 False
195.241, 129.105, 8.333, 19.600 False
194.825, 129.108, 8.333, 19.650 False
194.408, 129.112, 8.333, 19.700 False
193.991, 129.115, 8.333, 19.750 False
193.575, 129.119, 8.333, 19.800 False
193.158, 129.123, 8.333, 19.850 False
192.741, 129.127, 8.333, 19.900 False
192.325, 129.131, 8.333, 19.950 False
191.908, 129.135, 8.333, 20.000 False
191.491, 129.139, 8.333, 20.050 False
191.075, 129.143, 8.333, 20.100 False
190.658, 129.147, 8.333, 20.150 False
190.242, 129.152, 8.333, 20.200 False
189.825, 129.156, 8.333, 20.250 False
189.408, 129.161, 8.333, 20.300 False
188.992, 129.165, 8.333, 20.350 False
188.575, 129.170, 8.333, 20.400 False
188.159, 129.174, 8.333, 20.450 False
187.742, 129.179, 8.333, 20.500 False
187.325, 129.184, 8.333, 20.550 False
186.909, 129.189, 8.333, 20.600 False
186.492, 129.194, 8.333, 20.650 False
186.076, 129.199, 8.333, 20.700 False
185.659, 129.204, 8.333, 20.750 False
185.242, 129.209, 8.333, 20.800 False
184.826, 129.214, 8.333, 20.850 False
184.409, 129.219, 8.333, 20.900 False
183.993, 129.224, 8.333, 20.950 False
183.576, 129.229, 8.333, 21.000 False
183.159, 129.234, 8.333, 21.050 False
182.743, 129.240, 8.333, 21.100 False
182.326, 129.245, 8.333, 21.150 False
181.910, 129.250, 8.333, 21.200 False
181.493, 129.255, 8.333, 21.250 False
181.076, 129.261, 8.333, 21.300 False
180.660, 129.266, 8.333, 21.350 False
180.243, 129.271, 8.333, 21.400 False
179.827, 129.277, 8.333, 21.450 False
179.410, 129.282, 8.333, 21.500 False
178.993, 129.287, 8.333, 21.550 False
178.577, 129.293, 8.333, 21.600 False
178.160, 129.298, 8.333, 21.650 False
177.744, 129.303, 8.333, 21.700 False
177.327, 129.309, 8.333, 21.750 False
176.910, 129.314, 8.333, 21.800 False
176.494, 129.319, 8.333, 21.850 False
176.077, 129.325, 8.333, 21.900 False
175.661, 129.330, 8.333, 21.950 False
175.244, 129.335, 8.333, 22.000 False
174.827, 129.340, 8.333, 22.050 False
174.411, 129.346, 8.333, 22.100 False
173.994, 129.351, 8.333, 22.150 False
173.578, 129.356, 8.333, 22.200 False
173.161, 129.361, 8.333, 22.250 False
172.744, 129.366, 8.333, 22.300 False
172.328, 129.372, 8.333, 22.350 False
171.911, 129.377, 8.333, 22.400 False
171.495, 129.382, 8.333, 22.450 False
171.078, 129.387, 8.333, 22.500 False
170.661, 129.392, 8.333, 22.550 False
170.245, 129.397, 8.333, 22.600 False
169.828, 129.402, 8.333, 22.650 False
169.412, 129.407, 8.333, 22.700 False
168.995, 129.411, 8.333, 22.750 False
168.578, 129.416, 8.333, 22.800 False
168.162, 129.421, 8.333, 22.850 False
167.745, 129.426, 8.333, 22.900 False
167.329, 129.431, 8.333, 22.950 False
166.912, 129.435, 8.333, 23.000 False
166.495, 129.440, 8.333, 23.050 False
166.079, 129.444, 8.333, 23.100 False
165.662, 129.449, 8.333, 23.150 False
165.246, 129.453, 8.321, 23.200 False
164.832, 129.458, 8.246, 23.250 False
164.426, 129.462, 8.102, 23.300 False
164.028, 129.466, 7.909, 23.350 False
163.642, 129.470, 7.685, 23.400 False
163.267, 129.474, 7.436, 23.450 False
162.906, 129.477, 7.173, 23.500 False
162.557, 129.481, 6.915, 23.550 False
162.221, 129.484, 6.660, 23.600 False
161.896, 129.487, 6.426, 23.650 False
161.583, 129.489, 6.207, 23.700 False
161.279, 129.492, 6.024, 23.750 False
160.983, 129.495, 5.875, 23.800 False
160.692, 129.497, 5.773, 23.850 False
160.405, 129.499, 5.708, 23.900 False
160.119, 129.502, 5.675, 23.950 False
159.835, 129.504, 5.670, 24.000 False
159.550, 129.506, 5.670, 24.050 False
159.265, 129.508, 5.670, 24.100 False
158.981, 129.510, 5.671, 24.150 False
158.697, 129.512, 5.677, 24.200 False
158.412, 129.514, 5.680, 24.250 False
158.127, 129.516, 5.678, 24.300 False
157.844, 129.518, 5.669, 24.350 False
157.560, 129.520, 5.653, 24.400 False
157.278, 129.522, 5.632, 24.450 False
156.998, 129.524, 5.605, 24.500 False
156.718, 129.525, 5.575, 24.550 False
156.441, 129.527, 5.540, 24.600 False
156.165, 129.529, 5.504, 24.650 False
155.891, 129.530, 5.463, 24.700 False
